sctid	fsn	lattomidsag	lrselector
110508009	"Central portion of male breast (body structure)"	Y	NULL
110509001	"Upper inner quadrant of male breast (body structure)"	Y	NULL
110510006	"Lower inner quadrant of male breast (body structure)"	Y	NULL
110511005	"Upper outer quadrant of male breast (body structure)"	Y	NULL
110512003	"Lower outer quadrant of male breast (body structure)"	Y	NULL
110515001	"Breast, pectoral muscles and axillary tissue (combined site) (body structure)"	Y	NULL
110516000	"Breast and axillary tissue (combined site) (body structure)"	Y	NULL
110518004	"Base of phalanx (body structure)"	Y	NULL
110519007	"Bone structure of shaft of phalanx (body structure)"	Y	NULL
110520001	"Head of phalanx (body structure)"	Y	NULL
11052003	"Structure of shaft of fifth metacarpal bone (body structure)"	Y	NULL
110521002	"Tuberosity of phalanx (body structure)"	Y	NULL
110525006	"Orbital portion of zygomatic bone (body structure)"	Y	NULL
110526007	"Zygomatic tripod (body structure)"	Y	NULL
110528008	"Bony orbit structure (body structure)"	Y	NULL
110529000	"Structure of nasal-orbit bony complex (body structure)"	Y	NULL
110531009	"Rib and transverse process of vertebra (combined site) (body structure)"	Y	NULL
110536004	"Tibia and fibula (combined site) (body structure)"	Y	NULL
110537008	"Tibia and fibula, proximal (combined site) (body structure)"	Y	NULL
110538003	"Tibia and fibula, midshaft (combined site) (body structure)"	Y	NULL
110539006	"Tibia and fibula, distal (combined site) (body structure)"	Y	NULL
110540008	"Muscle structure of hand (body structure)"	Y	NULL
110559005	"Artery of head, neck AND/OR brain, right (body structure)"	R	NULL
110560000	"Artery of head, neck AND/OR brain, left (body structure)"	L	NULL
110561001	"Lenticulostriate artery (body structure)"	Y	NULL
110562008	"Medullary arteries of the brain (body structure)"	Y	NULL
110563003	"Structure of deep medullary artery of the brain (body structure)"	Y	NULL
110564009	"Short medullary arteries of the brain (body structure)"	Y	NULL
110566006	"Common facial vein (body structure)"	Y	NULL
110570003	"Maxillary vestibule (body structure)"	Y	NULL
110571004	"Mandibular vestibule (body structure)"	Y	NULL
110578005	"Structure of mesiobuccal cusp (body structure)"	Y	NULL
110579002	"Structure of mesiolingual cusp (body structure)"	Y	NULL
110580004	"Structure of lingual cusp (body structure)"	Y	NULL
110581000	"Structure of distobuccal cusp (body structure)"	Y	NULL
110582007	"Structure of distolingual cusp (body structure)"	Y	NULL
110583002	"Structure of buccal cusp (body structure)"	Y	NULL
110584008	"Cusp of Carabelli (body structure)"	Y	NULL
110585009	"Tooth furcation (body structure)"	Y	NULL
110586005	"Bifurcation of tooth (body structure)"	Y	NULL
110587001	"Trifurcation of tooth (body structure)"	Y	NULL
110588006	"Developmental groove of tooth (body structure)"	Y	NULL
110589003	"Buccal groove of tooth (body structure)"	Y	NULL
110590007	"Distobuccal groove of tooth (body structure)"	Y	NULL
110591006	"Mesiobuccal groove of tooth (body structure)"	Y	NULL
110592004	"Central groove of tooth (body structure)"	Y	NULL
110593009	"Lingual groove of tooth (body structure)"	Y	NULL
110594003	"Distolingual groove of tooth (body structure)"	Y	NULL
110595002	"Mesiolingual groove of tooth (body structure)"	Y	NULL
110596001	"Supplemental groove of tooth (body structure)"	Y	NULL
110598000	"Maxillary gingival attachment (body structure)"	Y	NULL
110599008	"Mandibular gingival attachment (body structure)"	Y	NULL
110600006	"Retromolar papilla (body structure)"	Y	NULL
1106008	"Entire major calyx (body structure)"	Y	NULL
110601005	"Retrocuspid papilla (body structure)"	Y	NULL
110614006	"Right intrahepatic bile duct branches (body structure)"	-	R
110615007	"Left intrahepatic bile duct branches (body structure)"	-	L
110623009	"Papillary duct of kidney (body structure)"	Y	NULL
110624003	"Kidney and renal pelvis (combined site) (body structure)"	Y	NULL
110634007	"Right uterine adnexa (body structure)"	R	NULL
110635008	"Left uterine adnexa (body structure)"	L	NULL
110643003	"Right fallopian tube and right ovary (combined site) (body structure)"	R	NULL
110644009	"Left fallopian tube and left ovary (combined site) (body structure)"	L	NULL
110647002	"Right fallopian tube, right ovary and broad ligament (combined site) (body structure)"	R	NULL
110648007	"Left fallopian tube, left ovary and broad ligament (combined site) (body structure)"	L	NULL
110667006	"Right frontal and parietal lobes (combined site) (body structure)"	R	NULL
110668001	"Left frontal and parietal lobes (combined site) (body structure)"	L	NULL
110670005	"Right temporal and frontal lobes (combined site) (body structure)"	R	NULL
110671009	"Left temporal and frontal lobes (combined site) (body structure)"	L	NULL
110673007	"Right parietal and occipital lobes (combined site) (body structure)"	R	NULL
110674001	"Left parietal and occipital lobes (combined site) (body structure)"	L	NULL
110676004	"Right occipital and temporal lobes (combined site) (body structure)"	R	NULL
110677008	"Left occipital and temporal lobes (combined site) (body structure)"	L	NULL
110678003	"Fusiform gyrus (body structure)"	Y	NULL
110680009	"Right temporal and parietal lobes (combined site) (body structure)"	R	NULL
110681008	"Left temporal and parietal lobes (combined site) (body structure)"	L	NULL
110682001	"Right basal ganglia (body structure)"	R	NULL
110683006	"Left basal ganglia (body structure)"	L	NULL
110684000	"Structure of paratenial nucleus of thalamus (body structure)"	Y	NULL
110687007	"Juxtarestiform body (body structure)"	Y	NULL
110692009	"Fasciculus sulcomarginalis (body structure)"	Y	NULL
110693004	"Ventral primary division of four upper cervical nerves (body structure)"	Y	NULL
110694005	"Thoracic nerve medial mammary branches (body structure)"	Y	NULL
110695006	"Dorsal digital nerves of foot (body structure)"	Y	NULL
110696007	"Structure of internal carotid plexus (body structure)"	Y	NULL
110697003	"Cavernous plexus (body structure)"	Y	NULL
110698008	"Pulmonary plexus of thoracic sympathetic nervous system (body structure)"	Y	NULL
110700004	"Vitreous and retina (combined site) (body structure)"	Y	NULL
110701000	"Choroid and retina (combined site) (body structure)"	Y	NULL
110703002	"Conjunctiva and cornea (combined site) (body structure)"	Y	NULL
110704008	"Eye and lacrimal gland (combined site) (body structure)"	Y	NULL
110705009	"Conjunctiva and lacrimal sac (combined site) (body structure)"	Y	NULL
110707001	"Pyramidal muscle of auricle (body structure)"	Y	NULL
110708006	"Middle ear and mastoid cells (body structure)"	Y	NULL
110709003	"Mucous gland of Eustachian tube (body structure)"	Y	NULL
110716002	"Upper extremity and shoulder (combined site) (body structure)"	Y	NULL
110717006	"Right upper extremity and shoulder (combined site) (body structure)"	R	NULL
110718001	"Left upper extremity and shoulder (combined site) (body structure)"	L	NULL
110719009	"Right lower extremity and pelvic tissues (combined site) (body structure)"	R	NULL
110720003	"Left lower extremity and pelvic tissues (combined site) (body structure)"	L	NULL
110760002	"Aorta and left ventricle (combined site) (body structure)"	-	L
110762005	"Femoral and popliteal arteries (combined site) (body structure)"	Y	NULL
110867009	"Right renal pelvis and skin (combined site) (body structure)"	R	NULL
110868004	"Left renal pelvis and skin (combined site) (body structure)"	L	NULL
11089000	"Structure of superior cerebellar peduncle (body structure)"	Y	NULL
110975002	"Follicle of tooth (body structure)"	Y	NULL
11098002	"Structure of anterior basal segment of right lower lobe of lung (body structure)"	R	NULL
11100002	"Structure of hypoglossal nerve lingual branches (body structure)"	Y	NULL
1110006	"Structure of meibomian gland (body structure)"	Y	NULL
111002	"Parathyroid structure (body structure)"	Y	NULL
11113008	"Structure of intervertebral foramen of eighth thoracic vertebra (body structure)"	Y	NULL
11122009	"Structure of first phalangeal articular facet of first metatarsal bone (body structure)"	Y	NULL
11128008	"Structure of intracapsular section of neck of femur (body structure)"	Y	NULL
11146002	"Structure of lamina of eleventh thoracic vertebra (body structure)"	Y	NULL
11171004	"Structure of proximal phalanx of fourth toe (body structure)"	Y	NULL
11192004	"Structure of psoas minor muscle (body structure)"	Y	NULL
11195002	"Structure of cortical branch of middle cerebral artery (body structure)"	Y	NULL
11207009	"Structure of right thigh (body structure)"	R	NULL
11208004	"Structure of lateral circumflex femoral artery (body structure)"	Y	NULL
11217004	"Structure of ureteral branch of testicular artery (body structure)"	Y	NULL
1122009	"Structure of inferior longitudinal muscle of tongue (body structure)"	Y	NULL
11240000	"Structure of parietal foramen (body structure)"	Y	NULL
11271009	"Check ligament (body structure)"	Y	NULL
11281008	"Precerebral artery (body structure)"	Y	NULL
11287007	"Structure of cornea of left eye (body structure)"	L	NULL
11302000	"Structure of pectinate zone of organ of Corti (body structure)"	Y	NULL
113181008	"Skin structure of anterior axillary line (body structure)"	Y	NULL
113183006	"Skin structure of ring finger (body structure)"	Y	NULL
113184000	"Skin structure of lateral surface of second toe (body structure)"	Y	NULL
113185004	"Structure of skin between fourth and fifth toes (body structure)"	Y	NULL
113187007	"Subcutaneous tissue structure of deltoid region (body structure)"	Y	NULL
113188002	"Subcutaneous tissue structure of lateral surface of thigh (body structure)"	Y	NULL
113189005	"Subcutaneous tissue structure of calf of leg (body structure)"	Y	NULL
113190001	"Structure of subcutaneous tissue between fourth and fifth toes (body structure)"	Y	NULL
113193004	"Structure of long bone (body structure)"	Y	NULL
113194005	"Structure of wormian bone (body structure)"	Y	NULL
113195006	"Entire facet for seventh costal cartilage of sternum (body structure)"	Y	NULL
113196007	"Structure of third costal cartilage (body structure)"	Y	NULL
113197003	"Bone structure of rib (body structure)"	Y	NULL
113198008	"Tubercle of rib structure (body structure)"	Y	NULL
113199000	"Entire angle of fourth rib (body structure)"	Y	NULL
113200002	"Head of eleventh rib structure (body structure)"	Y	NULL
113201003	"Entire angle of twelfth rib (body structure)"	Y	NULL
113204006	"Structure of intervertebral foramen (body structure)"	Y	NULL
113207004	"Structure of inferior articular process of fourth thoracic vertebra (body structure)"	Y	NULL
113208009	"Structure of inferior articular process of eighth thoracic vertebra (body structure)"	Y	NULL
113210006	"Structure of inferior articular process of tenth thoracic vertebra (body structure)"	Y	NULL
113211005	"Structure of inferior articular process of eleventh thoracic vertebra (body structure)"	Y	NULL
113216000	"Structure of lamina of second lumbar vertebra (body structure)"	Y	NULL
113217009	"Structure of superior articular process of fourth lumbar vertebra (body structure)"	Y	NULL
113219007	"Structure of iliopubic eminence (body structure)"	Y	NULL
113220001	"Structure of acetabular notch (body structure)"	Y	NULL
113221002	"Structure of proximal shaft of radius (body structure)"	Y	NULL
113222009	"Structure of proximal shaft of ulna (body structure)"	Y	NULL
113223004	"Structure of middle phalanx of middle finger (body structure)"	Y	NULL
113224005	"Bone structure of shaft of fibula (body structure)"	Y	NULL
113225006	"Structure of lateral malleolus of fibula (body structure)"	Y	NULL
113226007	"Structure of thyrohyoid muscle (body structure)"	Y	NULL
113227003	"Extensor carpi ulnaris muscle structure (body structure)"	Y	NULL
113228008	"Structure of abdominal part of pectoralis major muscle (body structure)"	Y	NULL
113229000	"Rhomboideus capitis muscle (body structure)"	Y	NULL
113232002	"Structure of pubovesicalis muscle (body structure)"	Y	NULL
113233007	"Structure of lateral head of gastrocnemius muscle (body structure)"	Y	NULL
113235000	"Structure of sphenozygomatic suture of skull (body structure)"	Y	NULL
113237008	"Carpometacarpal joint structure (body structure)"	Y	NULL
113240008	"Structure of subcutaneous medial malleolar bursa (body structure)"	Y	NULL
113241007	"Structure of tendinous intersection (body structure)"	Y	NULL
113242000	"Structure of tendon and tendon sheath of forearm (body structure)"	Y	NULL
113244004	"Structure of collateral ulnar ligament of elbow (body structure)"	Y	NULL
113245003	"Structure of annular ligament of radius (body structure)"	Y	NULL
113246002	"Interosseous metacarpal spaces (body structure)"	Y	NULL
113247006	"Structure of fascia of forearm, hand and finger (body structure)"	Y	NULL
113248001	"Structure of superior retinaculum of extensor muscles (body structure)"	Y	NULL
113250009	"Structure of bronchus of right middle lobe (body structure)"	-	R
113251008	"Structure of left lower lobe anterior segmental bronchus (body structure)"	L	NULL
113252001	"Structure of cardiac impression of medial surface of lung (body structure)"	Y	NULL
113253006	"Pulmonary alveolar structure (body structure)"	Y	NULL
113254000	"Structure of interstitial tissue of lung (body structure)"	Y	NULL
113255004	"Structure of parenchyma of lung (body structure)"	Y	NULL
11326003	"Structure of coronal pulp of tooth (body structure)"	Y	NULL
113263003	"Left common carotid artery structure (body structure)"	L	NULL
113264009	"Structure of lingual artery (body structure)"	Y	NULL
113265005	"Entire left posterior cerebral artery (body structure)"	L	NULL
113266006	"Entire posterior segmental branch of renal artery (body structure)"	Y	NULL
113267002	"Entire iliolumbar artery (body structure)"	Y	NULL
113268007	"Entire superior vesical artery (body structure)"	Y	NULL
113269004	"Structure of external iliac artery (body structure)"	Y	NULL
113270003	"Structure of left femoral artery (body structure)"	L	NULL
11327007	"Structure of levator scapulae muscle (body structure)"	Y	NULL
113271004	"Entire left anterior tibial artery (body structure)"	L	NULL
113272006	"Entire sternocleidomastoid vein (body structure)"	Y	NULL
113273001	"Structure of inferior right pulmonary vein (body structure)"	R	NULL
113275008	"Structure of femoral circumflex vein (body structure)"	Y	NULL
113278005	"Structure of mandibular left central incisor tooth (body structure)"	L	NULL
113289003	"Structure of straight portion of distal convoluted renal tubule (body structure)"	Y	NULL
113290007	"Fibromuscular junction of uterus (body structure)"	Y	NULL
11329005	"Entire tympanic vein (body structure)"	Y	NULL
113293009	"Structure of left fallopian tube (body structure)"	L	NULL
113294003	"Structure of uterine tubal serosa (body structure)"	Y	NULL
113296001	"Structure of mucosa of seminal vesicle (body structure)"	Y	NULL
113297005	"Structure of lobule of testis (body structure)"	Y	NULL
113300000	"Area striata structure (body structure)"	Y	NULL
113301001	"Structure of limen insulae (body structure)"	Y	NULL
113302008	"Structure of olfactory bulb (body structure)"	Y	NULL
113303003	"Structure of suprageniculate nucleus (body structure)"	Y	NULL
113304009	"Corticobulbar fibers of pons (body structure)"	Y	NULL
113307002	"Dorsal proper fasciculus (body structure)"	Y	NULL
113310009	"Structure of anterior lumbosacral spinal cord nerve root (body structure)"	Y	NULL
113311008	"Structure of oculomotor nerve central caudal nucleus (body structure)"	Y	NULL
113312001	"Structure of geniculate ganglion (body structure)"	Y	NULL
113313006	"Structure of cochlear nerve (body structure)"	Y	NULL
113315004	"Structure of vagus nerve anterior gastric branch (body structure)"	Y	NULL
113316003	"Structure of spinal nerve dorsal branch (body structure)"	Y	NULL
113317007	"Structure of cervical nerve lateral branch (body structure)"	Y	NULL
113318002	"Structure of anterior branch of medial antebrachial cutaneous nerve (body structure)"	Y	NULL
113319005	"Structure of femoral nerve (body structure)"	Y	NULL
113320004	"Structure of otic ganglion (body structure)"	Y	NULL
113321000	"Structure of internal lamina of choroid (body structure)"	Y	NULL
113322007	"Structure of inferior macular vein (body structure)"	Y	NULL
113324008	"Structure of neuroepithelial layer of retina (body structure)"	Y	NULL
113325009	"Structure of inner plexiform layer of retina (body structure)"	Y	NULL
113327001	"Pinna structure (body structure)"	Y	NULL
113328006	"Structure of crura of antihelix (body structure)"	Y	NULL
113329003	"Structure of incudomallear articulation (body structure)"	Y	NULL
113330008	"Structure of neck of stapes (body structure)"	Y	NULL
113333005	"Structure of paraganglion of extremity (body structure)"	Y	NULL
113338001	"Subiliac lymph node (body structure)"	Y	NULL
113339009	"Entire postvesicular lymph node (body structure)"	Y	NULL
113340006	"Structure of superficial inguinal lymph node (body structure)"	Y	NULL
113344002	"Structure of inferior wall of orbit (body structure)"	Y	NULL
113350007	"Structure of left inguinal triangle (body structure)"	L	NULL
113352004	"Structure of lateral border of sole (body structure)"	Y	NULL
113353009	"Structure of dorsal surface of toe (body structure)"	Y	NULL
113363001	"Structure of coiled artery of decidua basalis (body structure)"	Y	NULL
113366009	"Structure of common pulmonary vein (body structure)"	Y	NULL
113368005	"Structure of embryonic aortic arch (body structure)"	Y	NULL
11339004	"Structure of bronchus of right upper lobe (body structure)"	R	NULL
11348009	"Structure of orifice of salivary gland duct (body structure)"	Y	NULL
11398005	"Otolithic membrane structure (body structure)"	Y	NULL
11449002	"Structure of fasciculus cuneatus (body structure)"	Y	NULL
11451003	"Structure of sphenopetrosal synchondrosis (body structure)"	Y	NULL
11465001	"Structure of superior articular process of fourth cervical vertebra (body structure)"	Y	NULL
11469007	"Structure of ganglion impar (body structure)"	Y	NULL
11493002	"Entire costal groove of ninth rib (body structure)"	Y	NULL
11502004	"Structure of posterior mallear fold of tympanic membrane (body structure)"	Y	NULL
11520008	"Inner hair cell (cell)"	Y	NULL
11522000	"Olfactory nerve structure (body structure)"	Y	NULL
11532007	"Structure of articular process of fifth cervical vertebra (body structure)"	Y	NULL
11540001	"Structure of lymphatic vessel of ear (body structure)"	Y	NULL
11548008	"Structure of locus ceruleus (body structure)"	Y	NULL
11558007	"Subcutaneous tissue structure of parietal region (body structure)"	Y	NULL
115593006	"Renal epithelial cell (cell)"	Y	NULL
11564000	"Structure of spinal nerve of cauda equina (body structure)"	Y	NULL
11580005	"Structure of obturator nerve cutaneous branch (body structure)"	Y	NULL
11588003	"Structure of intervertebral foramen of cervical vertebra (body structure)"	Y	NULL
11595007	"Structure of transverse antihelicine sulcus (body structure)"	Y	NULL
115955008	"Structure of interphalangeal joint of thumb (body structure)"	Y	NULL
115968000	"Entire flexor carpi ulnaris muscle tendon sheath (body structure)"	Y	NULL
115969008	"Structure of plantar muscle of foot (body structure)"	Y	NULL
115970009	"First lumbrical muscle of foot (body structure)"	Y	NULL
115971008	"Second lumbrical muscle of foot (body structure)"	Y	NULL
115972001	"Third lumbrical muscle of foot (body structure)"	Y	NULL
115973006	"Fourth lumbrical muscle of foot (body structure)"	Y	NULL
115982000	"Structure of abductor digiti minimi muscle of hand (body structure)"	Y	NULL
116006008	"Pleural sac structure (body structure)"	Y	NULL
116007	"Subcutaneous tissue structure of medial surface of index finger (body structure)"	Y	NULL
116195000	"Cerebral hemisphere white matter part (body structure)"	Y	NULL
116210000	"Kidney and adrenal gland (combined site) (body structure)"	Y	NULL
116211001	"Right kidney and right adrenal gland (combined site) (body structure)"	R	NULL
116212008	"Left kidney and left adrenal gland (combined site) (body structure)"	L	NULL
11631005	"Structure of tuberoinfundibular tract of hypothalamus (body structure)"	Y	NULL
116353002	"Frontal process of zygomatic bone (body structure)"	Y	NULL
116354008	"Zygomaticofacial foramen (body structure)"	Y	NULL
116356005	"Entire left renal vein (body structure)"	L	NULL
116357001	"Entire right renal vein (body structure)"	R	NULL
116358006	"Vein of kidney (body structure)"	Y	NULL
116370005	"Skin structure of extremity (body structure)"	Y	NULL
11653007	"Entire deep circumflex iliac vein (body structure)"	Y	NULL
116668006	"Hindfoot (body structure)"	Y	NULL
11678006	"Thoracic branch of axillary artery (body structure)"	Y	NULL
11691007	"Auricular cartilage structure (body structure)"	Y	NULL
11710001	"Structure of base of phalanx of little toe (body structure)"	Y	NULL
11711002	"Subcutaneous tissue structure of external ear (body structure)"	Y	NULL
11712009	"Structure of maxillary right lateral incisor tooth (body structure)"	R	NULL
117133000	"Structure of first intercostal space (body structure)"	Y	NULL
117134006	"Structure of second intercostal space (body structure)"	Y	NULL
117135007	"Structure of third intercostal space (body structure)"	Y	NULL
117136008	"Structure of fourth intercostal space (body structure)"	Y	NULL
117137004	"Structure of fifth intercostal space (body structure)"	Y	NULL
117138009	"Structure of sixth intercostal space (body structure)"	Y	NULL
117139001	"Structure of seventh intercostal space (body structure)"	Y	NULL
117140004	"Structure of eighth intercostal space (body structure)"	Y	NULL
117141000	"Structure of ninth intercostal space (body structure)"	Y	NULL
117142007	"Structure of tenth intercostal space (body structure)"	Y	NULL
117143002	"Structure of eleventh intercostal space (body structure)"	Y	NULL
117144008	"Upper parasternal region (body structure)"	Y	NULL
117145009	"Middle parasternal region (body structure)"	Y	NULL
117146005	"Lower parasternal region (body structure)"	Y	NULL
11716007	"Structure of trochlea of femur (body structure)"	Y	NULL
11720006	"Lamina propria of sphenoid sinus (body structure)"	Y	NULL
117287000	"Renal tubular epithelial cell (cell)"	Y	NULL
1173001	"Structure of mandibular nerve (body structure)"	Y	NULL
11740004	"Structure of prevesicular lymph node (body structure)"	Y	NULL
11757000	"Structure of flexor tendon of knee joint (body structure)"	Y	NULL
117590005	"Ear structure (body structure)"	Y	NULL
11843008	"Structure of angle of mandible (body structure)"	Y	NULL
118495001	"Bone structure of distal humerus (body structure)"	Y	NULL
118497009	"Intrinsic muscle of hand structure (body structure)"	Y	NULL
118498004	"Volar plate of interphalangeal joint of finger (body structure)"	Y	NULL
118499007	"Midtarsal region joint capsule (body structure)"	Y	NULL
118501004	"Synovial tissue of tendon sheath (body structure)"	Y	NULL
118502006	"Synovia of wrist extensor tendons (body structure)"	Y	NULL
118503001	"Structure of tendon sheath of flexor tendon of digit (body structure)"	Y	NULL
118505008	"Structure of frontonasal duct (body structure)"	Y	NULL
118510007	"Extra-articular shoulder region (body structure)"	Y	NULL
118511006	"Gluteal compartment (body structure)"	Y	NULL
118512004	"Structure of anterior compartment of the upper arm (body structure)"	Y	NULL
118513009	"Structure of posterior compartment of upper arm (body structure)"	Y	NULL
118514003	"Structure of flexor compartment of forearm (body structure)"	Y	NULL
118515002	"Structure of extensor compartment of forearm (body structure)"	Y	NULL
118516001	"Structure of thigh compartment (body structure)"	Y	NULL
118517005	"Structure of deep posterior compartment of lower leg (body structure)"	Y	NULL
118518000	"Structure of superficial posterior compartment of lower leg (body structure)"	Y	NULL
118519008	"Structure of lateral compartment of lower leg (body structure)"	Y	NULL
